uuid|templatetitle|contents|accountuuid
8231dabb-4b39-4bff-9fc5-7490943d5464|superpublicity|is worth it for any Web site designer to collect|C3CFA249-F2A3-8253-1F44-B1C594C6A8D2
ddb99375-1a59-4ee7-8a8d-641cd8d8304d|nonapportionable|programming language. In conjunction with a Web page's Document Object|C937CE62-C4A9-131F-C96E-2DB8A9E886AB
5dcee8e3-8c30-47df-be0f-9cf09f2e4bd0|oversecurity|much more powerful technology than its creators originally envisioned. The|C6D5BA33-C95E-BCC3-D951-2A099E5F9230
feff2bda-4941-4be8-a440-7dcd8eeccb64|corpuscularity|often built into corporate and academic firewalls where they cache|8038D870-5455-A2D6-18A9-BD5FA1D0A10A
ab8356e6-9c12-4dda-bba7-3605e4b7b16e|incomprehensively|more information on the distinction between the World Wide Web|C937CE62-C4A9-131F-C96E-2DB8A9E886AB
0be49710-ebde-4d09-bc41-800e8d320056|unepigrammatic|wrote Information Management: A Proposal, which referenced ENQUIRE and described|C3CFA249-F2A3-8253-1F44-B1C594C6A8D2
5091795c-3683-44eb-88dd-c4a33f8b3541|insatiability|now performs many of the functions that were originally envisioned|C937CE62-C4A9-131F-C96E-2DB8A9E886AB
57b59297-00eb-4d79-a84d-2d24c2b06ca9|reinterpretation|potential readers could be found in all corners of the|C6D5BA33-C95E-BCC3-D951-2A099E5F9230
a8071dfc-05d2-464b-b363-81d503a05132|Announcement|This is an announcement to all students.|650195B6-9357-C147-C24E-7FBDAEEC74ED
e0a93d44-fe33-436f-b550-f15731e5ea24|nonhierarchical|the Semantic Web where all its contents should be descriptively|C937CE62-C4A9-131F-C96E-2DB8A9E886AB
9d8b6297-cbad-4f4d-809e-a6c16baf5c3c|hypercalcemia|everyday use the two are sometimes confused see Dark internet where|C3CFA249-F2A3-8253-1F44-B1C594C6A8D2
ee006336-a955-4163-8524-c165fdf71f2d|deanthropomorphic|agent is a kind of Web browser, it displays the|C937CE62-C4A9-131F-C96E-2DB8A9E886AB
6b8a8564-ce1d-4c71-a28c-e219ddf0e8d3|infatuatedly|ViolaWWW which was based upon HyperCard. The World Wide Web,|C6D5BA33-C95E-BCC3-D951-2A099E5F9230
0c89510a-1eb7-462c-a2e0-b1023e61e5b4|nonnegotiation|shift away from static HTML displays.    In|8038D870-5455-A2D6-18A9-BD5FA1D0A10A
7c0bd3e6-ca95-473c-9ed8-71a4dabc82b8|conformability|embedded in the hyperlinks. It is also possible, for example|C937CE62-C4A9-131F-C96E-2DB8A9E886AB
1da5fb0f-91fa-4bda-94eb-50c2d409a041|onomatologist|name World Wide Web and abbreviation WWW are now well-established|C3CFA249-F2A3-8253-1F44-B1C594C6A8D2
f08a9051-2b81-4baa-9fe8-23679226ae55|Class Cancelled|The next class has now been cancelled.|650195B6-9357-C147-C24E-7FBDAEEC74ED
31556a41-02e3-4981-acb5-6f72bc7ac498|certificatory|and perhaps to downloads, source documents, definitions and other Web|C6D5BA33-C95E-BCC3-D951-2A099E5F9230
700be194-4d60-4c79-91b7-49676d017464|emasculatory|(called applets) directly into the view. These applets run on|8038D870-5455-A2D6-18A9-BD5FA1D0A10A
c007996f-c475-430d-acd8-a6dde8e754e5|demilitarising|programming.    JavaScript, on the other hand, is|C937CE62-C4A9-131F-C96E-2DB8A9E886AB
154bf330-1d8a-443a-b933-610e09f276cf|nonmonarchically|only supplied once per session or less. It is worth|C3CFA249-F2A3-8253-1F44-B1C594C6A8D2
c779fec5-5c54-48d6-a850-9f622c250e96|interasteroidal|and 'POST' verbs - data requested with a GET may|C937CE62-C4A9-131F-C96E-2DB8A9E886AB
f300d0d3-a9a9-4cc3-ade5-98cb79a427f6|paradisaical|ideas of the Web can be traced as far back|C6D5BA33-C95E-BCC3-D951-2A099E5F9230
0a101a22-613a-46e4-89bd-d8f04b2e0641|nonappropriable|in use over the Internet, such as Gopher protocol and|8038D870-5455-A2D6-18A9-BD5FA1D0A10A
cfc91468-2337-48c9-a1ac-2214a95cefe7|Staff Meeting|There is a staff meeting scheduled on Tuesday.|650195B6-9357-C147-C24E-7FBDAEEC74ED
2f3b241d-40e0-489b-937a-6302e63f1fb5|subdiapasonic|"the INTERNET"", published in the University of Minnesota Wilson Library"|C3CFA249-F2A3-8253-1F44-B1C594C6A8D2
f3caac21-3020-4094-81f0-febbaf490458|derivationally|Internet, in turn) is not constrained by movement of physical|C937CE62-C4A9-131F-C96E-2DB8A9E886AB
32783b4e-12ea-453d-8619-c6dc9280f557|collaborationist|project after the WWW, the Semantic Web).   |C6D5BA33-C95E-BCC3-D951-2A099E5F9230
80b83a2e-78d6-402a-9179-0dd4d7ecc2f5|superoccipital|convention of naming hosts (servers) according to the services they|8038D870-5455-A2D6-18A9-BD5FA1D0A10A
956ec786-5462-410d-9f2f-98f4b7a81e17|nondeleterious|itself.    On August 6, 1991, he posted|C937CE62-C4A9-131F-C96E-2DB8A9E886AB
d1ea7223-b67b-47d6-926a-b4333ac5073b|noncorroborating|repeatedly suggested that a marriage between the two technologies was|C3CFA249-F2A3-8253-1F44-B1C594C6A8D2
2408c9cf-12d1-4441-af24-9c554f049f77|noncommendableness|Web, a client program called a user agent retrieves information|C937CE62-C4A9-131F-C96E-2DB8A9E886AB
7440da05-fb65-470e-b6a6-ddb4b46167b4|interindependence|Java client-side applets never gained the popularity that Sun had|C6D5BA33-C95E-BCC3-D951-2A099E5F9230
9f9b0fa9-f73e-4c55-a496-c350c43db9a6|triiodomethane|pages that may contain text, images, and other multimedia and|8038D870-5455-A2D6-18A9-BD5FA1D0A10A
686668ff-4b61-4909-8057-e56455d466b5|phraseological|CERN in Switzerland, the Englishman Tim Berners-Lee built ENQUIRE (referring|C937CE62-C4A9-131F-C96E-2DB8A9E886AB
4841ac76-862b-411e-9c0f-e7984c8aa26a|echinodermatous|the name is the closest to normal English usage). |C3CFA249-F2A3-8253-1F44-B1C594C6A8D2
9faf727a-803b-4463-8ddd-d4ffbd6d61bd|decolonization|providing a richer user interface than simple web pages. Java|C937CE62-C4A9-131F-C96E-2DB8A9E886AB
3618d832-ac4e-4534-a8d9-4d37996a792f|reindustrialized|Gmail, Google Maps etc.The Web, as it stands today, has|C6D5BA33-C95E-BCC3-D951-2A099E5F9230
01700e78-8130-400e-a845-9384f00c514f|unemancipative|years before that.[1]    For more information on|8038D870-5455-A2D6-18A9-BD5FA1D0A10A
0de49129-58f0-4a4e-9e0f-b96b979ccf46|epithelioma|contact or even when limited by every other existing medium|C937CE62-C4A9-131F-C96E-2DB8A9E886AB
d7069562-7745-4aec-831a-5d12652a13d6|kaleidoscopical|without them. Internet Explorer and Mozilla Firefox will also prefix|C3CFA249-F2A3-8253-1F44-B1C594C6A8D2
814eb954-e568-4b57-8167-0ee2459919f2|Elections|The student elections are soon to be held.|650195B6-9357-C147-C24E-7FBDAEEC74ED
1f69f124-8aca-4ebe-915d-b44b2d34c2d4|noninflammableness|its contents should be descriptively marked-up. On the World Wide|C6D5BA33-C95E-BCC3-D951-2A099E5F9230
7971d47a-7f53-416f-aa91-f9af1d7a0fde|commiseratively|have developed the phrase independently, slightly earlier uses of similar|8038D870-5455-A2D6-18A9-BD5FA1D0A10A
c29fcd02-acae-42d4-b2ba-c86986520f16|decarbonylated|word worldwide is normally written as one word (without a|C937CE62-C4A9-131F-C96E-2DB8A9E886AB
67e7c63c-0658-4d42-8acc-91f0ee364968|alkaptonuria|World Wide Web and abbreviation WWW are now well-established even|C3CFA249-F2A3-8253-1F44-B1C594C6A8D2
f7a61bb0-4b97-4726-87a3-f0e0ac9d4d69|polydemonism|the HTML, CSS and other files received, incorporating the images|C937CE62-C4A9-131F-C96E-2DB8A9E886AB
6a74565f-bf78-43f5-a74c-60b409cabc3a|polyvinylidene|Web addresses because many organizations in the past followed a|C6D5BA33-C95E-BCC3-D951-2A099E5F9230
891beab4-e2f4-48b6-9193-a02556e57afa|overconscientious|well), the first Web server and the first Web pages|8038D870-5455-A2D6-18A9-BD5FA1D0A10A
e3466335-e8ae-4fcf-a1e4-775512457014|incontinuity|the World Wide Web on November 12, 1990.  |C937CE62-C4A9-131F-C96E-2DB8A9E886AB
f5494dfc-a5f0-484f-93b4-eca6839b1029|predicability|WWW are now well-established even in formal English. The earliest|C3CFA249-F2A3-8253-1F44-B1C594C6A8D2
bd78dfce-de05-4f7f-852f-97af2342d28f|suppositionally|for the World Wide Web on November 12, 1990. |C937CE62-C4A9-131F-C96E-2DB8A9E886AB
c5fb5385-4d0f-4dd6-b889-50a559cd8525|scapulohumeral|as a platform and language for server-side and other programming.|C6D5BA33-C95E-BCC3-D951-2A099E5F9230
b631bb89-13e2-411d-b4a2-c14fb050d2e4|superability|linear order from beginning to end. It is not broken|8038D870-5455-A2D6-18A9-BD5FA1D0A10A
48acf4bd-3653-492a-8653-0a967ad4df73|unconcentrically|server, as above, again. By default, browsers cache all web|C937CE62-C4A9-131F-C96E-2DB8A9E886AB
5b581e6e-1492-413f-ba97-35192fc969ec|complimentarily|Web browser (which was a Web editor as well), the|C3CFA249-F2A3-8253-1F44-B1C594C6A8D2
6c3d527f-894d-4b07-8936-703c62b49a90|immunoglobulin|distances, or even large amounts of time, can use the|C937CE62-C4A9-131F-C96E-2DB8A9E886AB
c447cc85-5966-4444-a264-8abf7f9ca58b|electrodynamic|a global scale, or even to empower demagogues and repressive|C6D5BA33-C95E-BCC3-D951-2A099E5F9230
6445cad0-0a09-4cd3-ab03-d98b1db9e929|heparinization|Marc Andreessen. Prior to the release of Mosaic, graphics were|8038D870-5455-A2D6-18A9-BD5FA1D0A10A
51f4925c-1520-478a-a27c-994d77743a4b|restorationism|name is similar to Java, JavaScript was developed by Netscape|C937CE62-C4A9-131F-C96E-2DB8A9E886AB
89cc10ea-cb3c-47b7-a5ab-1fff322cc636|Graduation|Collect your graduation gown and cap at your department.|650195B6-9357-C147-C24E-7FBDAEEC74ED
a51ff4b2-122c-4c3c-8f73-d6784bfb390a|underpopulated|many hits or web requests that are often necessary to|C937CE62-C4A9-131F-C96E-2DB8A9E886AB
69abf5ef-cb72-4be2-afc0-4e8fe2484998|nonelaborative|Proposal, which referenced ENQUIRE and described a more elaborate information|C6D5BA33-C95E-BCC3-D951-2A099E5F9230
796ac47d-82c1-4f82-856c-b4462e0f5d41|incorrigibleness|name.    Some Web browsers will automatically try|8038D870-5455-A2D6-18A9-BD5FA1D0A10A
f45b58e9-fddd-4d85-95a7-f78eeb6ba8b5|psychodiagnostic|These applets run on the end-user's computer, providing a richer|C937CE62-C4A9-131F-C96E-2DB8A9E886AB
94c5ad76-f1f6-4d92-8cd2-7d811e484897|iridocyclitis|have developed the phrase independently, slightly earlier uses of similar|C3CFA249-F2A3-8253-1F44-B1C594C6A8D2
f388129f-38ef-4200-9a8f-62503994a896|superillustrating|underlying ideas of the Web can be traced as far|C937CE62-C4A9-131F-C96E-2DB8A9E886AB
3963e066-c95f-47c6-82f4-e9bf5f4fe153|fideicommissum|If the user returns to a page fairly soon, it|C6D5BA33-C95E-BCC3-D951-2A099E5F9230
284878f5-9211-4b56-9651-f759c5245147|africanderism|server-name part of the URL to be resolved into an|8038D870-5455-A2D6-18A9-BD5FA1D0A10A
eb2e30dc-f404-470d-8620-89d5fc21135b|xylographically|Internet protocol.A significant advance in Web technology was Sun Microsystems'|C937CE62-C4A9-131F-C96E-2DB8A9E886AB
8dcc3dc2-9a7f-4fa3-82a0-2f1de0593cb0|stalagmitically|the World Wide Web; the web's scale and infrastructure make|C3CFA249-F2A3-8253-1F44-B1C594C6A8D2
c4f83a96-180f-4dd0-95e3-f6d11ff12e87|spectrophotometry|"turn inspired by Vannevar Bush's microfilm-based ""memex,"" which was described"|C937CE62-C4A9-131F-C96E-2DB8A9E886AB
3e8f08ed-f896-41b9-bd61-846f0365ed81|axiological|its name is similar to Java, JavaScript was developed by|C6D5BA33-C95E-BCC3-D951-2A099E5F9230
47644dc6-08d8-46d8-af09-1d1f40fde896|aeronautically|displays the resources on a user's computer. The user can|8038D870-5455-A2D6-18A9-BD5FA1D0A10A
889e916d-5ee2-47bb-a6dc-0822be56c24d|unconsentaneous|"available without a ""www"" prefix. The ""www"" prefix has no"|C937CE62-C4A9-131F-C96E-2DB8A9E886AB
50143dad-b2b0-4fc3-a6ca-d78e8a065897|semispontaneous|for example, the host name for a Web server was|C3CFA249-F2A3-8253-1F44-B1C594C6A8D2
bd6e03b3-9a42-4b1c-b35e-61d125d72f87|disarticulating|shared and disseminated digitally with less individual investment than ever|C937CE62-C4A9-131F-C96E-2DB8A9E886AB
363ff898-c2ff-487f-80f0-3ad0845f2018|ecclesiologic|and 1992, and some recollections claim it was also used|C6D5BA33-C95E-BCC3-D951-2A099E5F9230
e2d1d2e9-13f9-442d-9193-b0ef1fbc3ebe|labiovelarize|"often ""www""; for an FTP server, ""ftp""; and for a"|8038D870-5455-A2D6-18A9-BD5FA1D0A10A
89ca15a9-935d-4576-b5ca-78658782dd7e|nonfortifiable|called Web 2.0. Examples of Ajax techniques currently in use|C937CE62-C4A9-131F-C96E-2DB8A9E886AB
4b41b5b3-73b5-4f46-af0f-7660465b8ff6|basidiomycete|marked the debut of the Web as a publicly available|C3CFA249-F2A3-8253-1F44-B1C594C6A8D2
c5c4b450-1440-43df-9e8e-3a9c92c62173|Visitation|A guest lecturer will be coming to visit.|650195B6-9357-C147-C24E-7FBDAEEC74ED
cef2c635-dcab-4d8a-af82-e24cdf44b74a|unsanctimonious|a Web page or other resource on the World Wide|C6D5BA33-C95E-BCC3-D951-2A099E5F9230
d415944b-841a-468b-94bc-d2339820043f|bacteriology|Local newspapers, government publications, and other materials are easier to|8038D870-5455-A2D6-18A9-BD5FA1D0A10A
02c0851d-c961-43b3-aa05-e8ec85bdb70b|fatigability|This date also marked the debut of the Web as|C937CE62-C4A9-131F-C96E-2DB8A9E886AB
61469d79-5c4b-437a-85e6-bde5cd901120|prediscrimination|and space, than is possible when limited by physical contact|C3CFA249-F2A3-8253-1F44-B1C594C6A8D2
90718361-cbb2-4224-891a-dbe2b90132af|superfibrination|the server-name part of the URL to be resolved into|C937CE62-C4A9-131F-C96E-2DB8A9E886AB
ec474b71-dd36-4425-8329-cbb8c4503491|noncollaboration|"prefix ""http://www."" and append "".com"" to the address bar contents"|C6D5BA33-C95E-BCC3-D951-2A099E5F9230
1e0fa0ce-5fe0-4b49-9ced-e391dce95be7|pseudolegality|as many syllables (depending on accent) as the full term|8038D870-5455-A2D6-18A9-BD5FA1D0A10A
83638a6d-fd65-4475-9ae8-030f667ad7e5|pseudotetragonal|Web normally begins either by typing the URL of the|C937CE62-C4A9-131F-C96E-2DB8A9E886AB
0c9287e1-1222-4f80-b4cc-82dafcf4802b|ineffectually|"For example, entering ""example"" in the address bar and then"|C3CFA249-F2A3-8253-1F44-B1C594C6A8D2
c88f583e-2512-4da3-b4f4-5fff35f56436|palaeological|the place on the Web, especially if the place is|C937CE62-C4A9-131F-C96E-2DB8A9E886AB
67d519dd-a3fd-4581-9db4-d1c87e80f68e|perturbability|Unlike books and documents, hypertext does not have a linear|C6D5BA33-C95E-BCC3-D951-2A099E5F9230
f36859a3-f468-495e-b020-71e6811892c7|hypercarbureted| For more information on the distinction between the World|8038D870-5455-A2D6-18A9-BD5FA1D0A10A
bec573c5-eb48-4a6d-9321-0bcd045a6506|nonreceptivity|It is worth it for any Web site designer to|C937CE62-C4A9-131F-C96E-2DB8A9E886AB
916df3c8-1604-46b5-9a35-6a404d4c9776|nonopinionated|two or three times as many syllables (depending on accent)|C3CFA249-F2A3-8253-1F44-B1C594C6A8D2
ac81cf02-fe48-4ef3-a1f8-e36c16428440|collectivization|way the main website is shown; locally or around the|C937CE62-C4A9-131F-C96E-2DB8A9E886AB
fd5fe06b-29a1-4698-a593-d4561790623f|infrangibility|Applications developed by Marc Andreessen. Prior to the release of|C6D5BA33-C95E-BCC3-D951-2A099E5F9230
3f2e19a2-980f-42fa-8693-dbb35dc0cd4c|nonintoxicating|slightly earlier uses of similar terms appeared on Usenet in|8038D870-5455-A2D6-18A9-BD5FA1D0A10A
5b8d3eba-f90c-4993-b45a-0ce430f921eb|supermotility|sent by the browser that asks for the data only|C937CE62-C4A9-131F-C96E-2DB8A9E886AB
